DEPTH,LITHOLOGY
10.0584,ST
10.2108,ST
10.3632,ST
10.5156,ST
10.668,ST
10.8204,ST
10.9728,ST
11.1252,ST
11.2776,ST
11.43,ST
11.5824,ST
11.7348,ST
11.8872,ST
12.0396,ST
12.192,ST
12.3444,ST
12.4968,ST
12.6492,ST
12.8016,ST
12.954,ST
13.1064,ST
13.2588,ST
13.4112,ST
13.5636,ST
13.716,ST
13.8684,ST
14.0208,ST
14.1732,ST
14.3256,ST
14.478,ST
14.6304,ST
14.7828,ST
14.9352,ST
15.0876,ST
15.24,ST
15.3924,ST
15.5448,ST
15.6972,ST
15.8496,ST
16.002,ST
16.1544,ST
16.3068,ST
16.4592,ST
16.6116,ST
16.764,ST
16.9164,ST
17.0688,ST
17.2212,ST
17.3736,ST
17.526,ST
17.6784,ST
17.8308,ST
17.9832,ST
18.1356,ST
18.288,ST
18.4404,ST
18.5928,ST
18.7452,ST
18.8976,ST
19.05,ST
19.2024,ST
19.3548,ST
19.5072,ST
19.6596,ST
19.812,ST
19.9644,ST
20.1168,ST
20.2692,ST
20.4216,ST
20.574,ST
20.7264,ST
20.8788,ST
21.0312,SS
21.1836,SS
21.336,SS
21.4884,SS
21.6408,SS
21.7932,SS
21.9456,SS
22.098,SS
22.2504,SS
22.4028,SS
22.5552,SS
22.7076,SS
22.86,SS
23.0124,SS
23.1648,SS
23.3172,SS
23.4696,SS
23.622,SS
23.7744,SS
23.9268,SS
24.0792,SS
24.2316,SS
24.384,SS
24.5364,SS
24.6888,SS
24.8412,SS
24.9936,SS
25.146,SS
25.2984,SS
25.4508,SS
25.6032,SS
25.7556,SS
25.908,SS
26.0604,ST
26.2128,ST
26.3652,ST
26.5176,ST
26.67,ST
26.8224,ST
26.9748,ST
27.1272,ST
27.2796,ST
27.432,ST
27.5844,ST
27.7368,ST
27.8892,ST
28.0416,ST
28.194,ST
28.3464,ST
28.4988,ST
28.6512,ST
28.8036,ST
28.956,ST
29.1084,ST
29.2608,ST
29.4132,ST
29.5656,ST
29.718,ST
29.8704,ST
30.0228,ST
30.1752,ST
30.3276,ST
30.48,ST
30.6324,ST
30.7848,ST
30.9372,ST
31.0896,ST
31.242,ST
31.3944,ST
31.5468,ST
31.6992,ST
31.8516,ST
32.004,ST
32.1564,ST
32.3088,ST
32.4612,ST
32.6136,ST
32.766,ST
32.9184,ST
33.0708,ST
33.2232,ST
33.3756,ST
33.528,ST
33.6804,ST
33.8328,ST
33.9852,ST
34.1376,SS
34.29,SS
34.4424,SS
34.5948,SS
34.7472,SS
34.8996,SS
35.052,SS
35.2044,SS
35.3568,SS
35.5092,SS
35.6616,SS
35.814,SS
35.9664,SS
36.1188,SS
36.2712,SS
36.4236,SS
36.576,SS
36.7284,SS
36.8808,SS
37.0332,ST
37.1856,ST
37.338,ST
37.4904,ST
37.6428,ST
37.7952,ST
37.9476,ST
38.1,ST
38.2524,ST
38.4048,ST
38.5572,ST
38.7096,ST
38.862,ST
39.0144,ST
39.1668,ST
39.3192,ST
39.4716,ST
39.624,ST
39.7764,ST
39.9288,ST
40.0812,ST
40.2336,ST
40.386,ST
40.5384,ST
40.6908,ST
40.8432,ST
40.9956,ST
41.148,ST
41.3004,ST
41.4528,ST
41.6052,ST
41.7576,ST
41.91,ST
42.0624,IGN
42.2148,IGN
42.3672,IGN
42.5196,IGN
42.672,IGN
42.8244,IGN
42.9768,IGN
43.1292,IGN
43.2816,IGN
43.434,IGN
43.5864,IGN
43.7388,IGN
43.8912,IGN
44.0436,IGN
44.196,IGN
44.3484,IGN
44.5008,IGN
44.6532,IGN
44.8056,IGN
44.958,IGN
45.1104,IGN
45.2628,IGN
45.4152,IGN
45.5676,IGN
45.72,IGN
45.8724,IGN
46.0248,IGN
46.1772,IGN
46.3296,IGN
46.482,IGN
46.6344,IGN
46.7868,IGN
46.9392,IGN
47.0916,IGN
47.244,IGN
47.3964,IGN
47.5488,IGN
47.7012,IGN
47.8536,IGN
48.006,IGN
48.1584,IGN
48.3108,IGN
48.4632,IGN
48.6156,IGN
48.768,IGN
48.9204,IGN
49.0728,IGN
49.2252,IGN
49.3776,IGN
49.53,IGN
49.6824,IGN
49.8348,IGN
49.9872,IGN
50.1396,IGN
50.292,IGN
50.4444,IGN
50.5968,IGN
50.7492,IGN
50.9016,IGN
51.054,IGN
51.2064,IGN
51.3588,IGN
51.5112,IGN
51.6636,IGN
51.816,IGN
51.9684,IGN
52.1208,IGN
52.2732,IGN
52.4256,IGN
52.578,IGN
52.7304,IGN
52.8828,IGN
53.0352,IGN
53.1876,IGN
53.34,IGN
53.4924,IGN
53.6448,IGN
53.7972,IGN
53.9496,IGN
54.102,IGN
54.2544,IGN
54.4068,IGN
54.5592,IGN
54.7116,IGN
54.864,IGN
55.0164,IGN
55.1688,IGN
55.3212,IGN
55.4736,IGN
55.626,IGN
55.7784,IGN
55.9308,IGN
56.0832,IGN
56.2356,IGN
56.388,IGN
56.5404,IGN
56.6928,IGN
56.8452,IGN
56.9976,IGN
57.15,IGN
57.3024,IGN
57.4548,IGN
57.6072,IGN
57.7596,IGN
57.912,IGN
58.0644,IGN
58.2168,IGN
58.3692,IGN
58.5216,IGN
58.674,IGN
58.8264,IGN
58.9788,IGN
59.1312,IGN
59.2836,IGN
59.436,IGN
59.5884,IGN
59.7408,IGN
59.8932,IGN
60.0456,IGN
60.198,IGN
60.3504,IGN
60.5028,IGN
60.6552,IGN
60.8076,IGN
60.96,IGN
61.1124,IGN
61.2648,IGN
61.4172,IGN
61.5696,IGN
61.722,IGN
61.8744,IGN
62.0268,IGN
62.1792,IGN
62.3316,IGN
62.484,IGN
62.6364,IGN
62.7888,IGN
62.9412,IGN
63.0936,IGN
63.246,IGN
63.3984,IGN
63.5508,IGN
63.7032,IGN
63.8556,IGN
