DEPTH,LITHOLOGY
9.017,IGN
9.0424,IGN
9.0678,IGN
9.0932,IGN
9.1186,IGN
9.144,IGN
9.1694,IGN
9.1948,IGN
9.2202,IGN
9.2456,IGN
9.271,IGN
9.2964,IGN
9.3218,IGN
9.3472,IGN
9.3726,IGN
9.398,IGN
9.4234,IGN
9.4488,IGN
9.4742,IGN
9.4996,IGN
9.525,IGN
9.5504,IGN
9.5758,IGN
9.6012,IGN
9.6266,IGN
9.652,IGN
9.6774,IGN
9.7028,IGN
9.7282,IGN
9.7536,IGN
9.779,IGN
9.8044,IGN
9.8298,IGN
9.8552,IGN
9.8806,IGN
9.906,IGN
9.9314,IGN
9.9568,IGN
9.9822,IGN
10.0076,IGN
10.033,IGN
10.0584,IGN
10.0838,IGN
10.1092,IGN
10.1346,IGN
10.16,IGN
10.1854,IGN
10.2108,IGN
10.2362,IGN
10.2616,IGN
10.287,IGN
10.3124,IGN
10.3378,IGN
10.3632,IGN
10.3886,IGN
10.414,IGN
10.4394,IGN
10.4648,IGN
10.4902,IGN
10.5156,IGN
10.541,IGN
10.5664,IGN
10.5918,IGN
10.6172,IGN
10.6426,IGN
10.668,IGN
10.6934,IGN
10.7188,IGN
10.7442,IGN
10.7696,IGN
10.795,IGN
10.8204,IGN
10.8458,IGN
10.8712,IGN
10.8966,IGN
10.922,IGN
10.9474,IGN
10.9728,IGN
10.9982,IGN
11.0236,IGN
11.049,IGN
11.0744,IGN
11.0998,IGN
11.1252,IGN
11.1506,IGN
11.176,IGN
11.2014,IGN
11.2268,IGN
11.2522,IGN
11.2776,IGN
11.303,IGN
11.3284,IGN
11.3538,IGN
11.3792,IGN
11.4046,IGN
11.43,IGN
11.4554,IGN
11.4808,IGN
11.5062,IGN
11.5316,IGN
11.557,IGN
11.5824,IGN
11.6078,IGN
11.6332,IGN
11.6586,IGN
11.684,IGN
11.7094,IGN
11.7348,IGN
11.7602,IGN
11.7856,IGN
11.811,IGN
11.8364,IGN
11.8618,IGN
11.8872,IGN
11.9126,IGN
11.938,IGN
11.9634,IGN
11.9888,IGN
12.0142,IGN
12.0396,IGN
12.065,IGN
12.0904,IGN
12.1158,IGN
12.1412,IGN
12.1666,IGN
12.192,IGN
12.2174,IGN
12.2428,IGN
12.2682,IGN
12.2936,IGN
12.319,IGN
12.3444,IGN
12.3698,IGN
12.3952,IGN
12.4206,IGN
12.446,IGN
12.4714,IGN
12.4968,IGN
12.5222,IGN
12.5476,IGN
12.573,IGN
12.5984,IGN
12.6238,IGN
12.6492,IGN
12.6746,IGN
12.7,IGN
12.7254,IGN
12.7508,IGN
12.7762,IGN
12.8016,IGN
12.827,IGN
12.8524,IGN
12.8778,IGN
12.9032,IGN
12.9286,IGN
12.954,IGN
12.9794,IGN
13.0048,IGN
13.0302,IGN
13.0556,IGN
13.081,IGN
13.1064,IGN
13.1318,IGN
13.1572,IGN
13.1826,IGN
13.208,IGN
13.2334,IGN
13.2588,IGN
13.2842,IGN
13.3096,IGN
13.335,IGN
13.3604,IGN
13.3858,IGN
13.4112,IGN
13.4366,IGN
13.462,IGN
13.4874,IGN
13.5128,IGN
13.5382,IGN
13.5636,IGN
13.589,IGN
13.6144,IGN
13.6398,IGN
13.6652,IGN
13.6906,IGN
13.716,IGN
13.7414,IGN
13.7668,IGN
13.7922,IGN
13.8176,IGN
13.843,IGN
13.8684,IGN
13.8938,IGN
13.9192,IGN
13.9446,IGN
13.97,IGN
13.9954,IGN
14.0208,IGN
14.0462,IGN
14.0716,IGN
14.097,IGN
14.1224,IGN
14.1478,IGN
14.1732,IGN
14.1986,IGN
14.224,IGN
14.2494,IGN
14.2748,IGN
14.3002,IGN
14.3256,IGN
14.351,IGN
14.3764,IGN
14.4018,IGN
14.4272,IGN
14.4526,IGN
14.478,IGN
14.5034,IGN
14.5288,IGN
14.5542,IGN
14.5796,IGN
14.605,IGN
14.6304,IGN
14.6558,IGN
14.6812,IGN
14.7066,IGN
14.732,IGN
14.7574,IGN
14.7828,IGN
14.8082,IGN
14.8336,IGN
14.859,IGN
14.8844,IGN
14.9098,IGN
14.9352,IGN
14.9606,IGN
14.986,IGN
15.0114,IGN
15.0368,IGN
15.0622,IGN
15.0876,IGN
15.113,IGN
15.1384,IGN
15.1638,IGN
15.1892,IGN
15.2146,IGN
15.24,IGN
15.2654,IGN
15.2908,IGN
15.3162,IGN
15.3416,IGN
15.367,IGN
15.3924,IGN
15.4178,IGN
15.4432,IGN
15.4686,IGN
15.494,IGN
15.5194,IGN
15.5448,IGN
15.5702,IGN
15.5956,IGN
15.621,IGN
15.6464,IGN
15.6718,IGN
15.6972,IGN
15.7226,IGN
15.748,IGN
15.7734,IGN
15.7988,IGN
15.8242,IGN
15.8496,IGN
15.875,IGN
15.9004,IGN
15.9258,IGN
15.9512,IGN
15.9766,IGN
16.002,IGN
16.0274,IGN
16.0528,IGN
16.0782,IGN
16.1036,IGN
16.129,IGN
16.1544,IGN
16.1798,IGN
16.2052,IGN
16.2306,IGN
16.256,IGN
16.2814,IGN
16.3068,IGN
16.3322,IGN
16.3576,IGN
16.383,IGN
16.4084,IGN
16.4338,IGN
16.4592,IGN
16.4846,IGN
16.51,IGN
16.5354,IGN
16.5608,IGN
16.5862,IGN
16.6116,IGN
16.637,IGN
16.6624,IGN
16.6878,IGN
16.7132,IGN
16.7386,IGN
16.764,IGN
16.7894,IGN
16.8148,IGN
16.8402,IGN
16.8656,IGN
16.891,IGN
16.9164,IGN
16.9418,IGN
16.9672,IGN
16.9926,IGN
17.018,IGN
17.0434,IGN
17.0688,IGN
17.0942,IGN
17.1196,IGN
17.145,IGN
17.1704,IGN
17.1958,IGN
17.2212,IGN
17.2466,IGN
17.272,IGN
17.2974,IGN
17.3228,IGN
17.3482,IGN
17.3736,IGN
17.399,IGN
17.4244,IGN
17.4498,IGN
17.4752,IGN
17.5006,IGN
17.526,IGN
17.5514,IGN
17.5768,IGN
17.6022,IGN
17.6276,IGN
17.653,IGN
17.6784,IGN
17.7038,IGN
17.7292,IGN
17.7546,IGN
17.78,IGN
17.8054,IGN
17.8308,IGN
17.8562,IGN
17.8816,IGN
17.907,IGN
17.9324,IGN
17.9578,IGN
17.9832,IGN
18.0086,IGN
18.034,IGN
18.0594,IGN
18.0848,IGN
18.1102,IGN
18.1356,IGN
18.161,IGN
18.1864,IGN
18.2118,IGN
18.2372,IGN
18.2626,IGN
18.288,IGN
18.3134,IGN
18.3388,IGN
18.3642,IGN
18.3896,IGN
18.415,IGN
18.4404,IGN
18.4658,IGN
18.4912,IGN
18.5166,IGN
18.542,IGN
18.5674,IGN
18.5928,IGN
18.6182,IGN
18.6436,IGN
18.669,IGN
18.6944,IGN
18.7198,IGN
18.7452,IGN
18.7706,IGN
18.796,IGN
18.8214,IGN
18.8468,IGN
18.8722,IGN
18.8976,IGN
18.923,IGN
18.9484,IGN
18.9738,IGN
18.9992,IGN
19.0246,IGN
19.05,IGN
19.0754,IGN
19.1008,IGN
19.1262,IGN
19.1516,IGN
19.177,IGN
19.2024,IGN
19.2278,IGN
19.2532,IGN
19.2786,IGN
19.304,IGN
19.3294,IGN
19.3548,IGN
19.3802,IGN
19.4056,IGN
19.431,IGN
19.4564,IGN
19.4818,IGN
19.5072,IGN
19.5326,IGN
19.558,IGN
19.5834,IGN
19.6088,IGN
19.6342,IGN
19.6596,IGN
19.685,IGN
19.7104,IGN
19.7358,IGN
19.7612,IGN
19.7866,IGN
19.812,IGN
19.8374,IGN
19.8628,IGN
19.8882,IGN
19.9136,IGN
19.939,IGN
19.9644,IGN
19.9898,IGN
20.0152,IGN
20.0406,IGN
20.066,IGN
20.0914,IGN
20.1168,IGN
20.1422,IGN
20.1676,IGN
20.193,IGN
20.2184,IGN
20.2438,IGN
20.2692,IGN
20.2946,IGN
20.32,IGN
20.3454,IGN
20.3708,IGN
20.3962,IGN
20.4216,IGN
20.447,IGN
20.4724,IGN
20.4978,IGN
20.5232,IGN
20.5486,IGN
20.574,IGN
20.5994,IGN
20.6248,IGN
20.6502,IGN
20.6756,IGN
20.701,IGN
20.7264,IGN
20.7518,IGN
20.7772,IGN
20.8026,IGN
20.828,IGN
20.8534,IGN
20.8788,IGN
20.9042,IGN
20.9296,IGN
20.955,IGN
20.9804,IGN
21.0058,IGN
21.0312,IGN
21.0566,IGN
21.082,IGN
21.1074,IGN
21.1328,IGN
21.1582,IGN
21.1836,IGN
21.209,IGN
21.2344,IGN
21.2598,IGN
21.2852,IGN
21.3106,IGN
21.336,IGN
21.3614,IGN
21.3868,IGN
21.4122,IGN
21.4376,IGN
21.463,IGN
21.4884,IGN
21.5138,IGN
21.5392,IGN
21.5646,IGN
21.59,IGN
21.6154,IGN
21.6408,IGN
21.6662,IGN
21.6916,IGN
21.717,IGN
21.7424,IGN
21.7678,IGN
21.7932,IGN
21.8186,IGN
21.844,IGN
21.8694,IGN
21.8948,IGN
21.9202,IGN
21.9456,IGN
21.971,IGN
21.9964,IGN
22.0218,IGN
22.0472,IGN
22.0726,IGN
22.098,IGN
22.1234,IGN
22.1488,IGN
22.1742,IGN
22.1996,IGN
22.225,IGN
22.2504,IGN
22.2758,IGN
22.3012,IGN
22.3266,IGN
22.352,IGN
22.3774,IGN
22.4028,IGN
22.4282,IGN
22.4536,IGN
22.479,IGN
22.5044,IGN
22.5298,IGN
22.5552,IGN
22.5806,IGN
22.606,IGN
22.6314,IGN
22.6568,IGN
22.6822,IGN
22.7076,IGN
22.733,IGN
22.7584,IGN
22.7838,IGN
22.8092,IGN
22.8346,IGN
22.86,IGN
22.8854,IGN
