DEPTH,LITHOLOGY
75,DMT
75.2,DMT
75.4,DMT
75.6,DMT
75.8,DMT
76,DMT
76.2,DMT
76.4,DMT
76.6,DMT
76.8,DMT
77,DMT
77.2,DMT
77.4,DMT
77.6,DMT
77.8,DMT
78,DMT
78.2,DMT
78.4,DMT
78.6,DMT
78.8,DMT
79,DMT
79.2,DMT
79.4,DMT
79.6,DMT
79.8,DMT
80,DMT
80.2,ST
80.4,ST
80.6,ST
80.8,ST
81,ST
81.2,ST
81.4,ST
81.6,ST
81.8,ST
82,ST
82.2,ST
82.4,ST
82.6,ST
82.8,ST
83,ST
83.2,ST
83.4,ST
83.6,ST
83.8,ST
84,ST
84.2,ST
84.4,ST
84.6,ST
84.8,ST
85,ST
85.2,SS
85.4,SS
85.6,SS
85.8,SS
86,SS
86.2,SS
86.4,SS
86.6,SS
86.8,SS
87,SS
87.2,SS
87.4,SS
87.6,SS
87.8,SS
88,SS
88.2,SS
88.4,SS
88.6,SS
88.8,SS
89,SS
89.2,SS
89.4,SS
89.6,SS
89.8,SS
90,SS
90.2,SS
90.4,SS
90.6,SS
90.8,SS
91,SS
91.2,SS
91.4,SS
91.6,SS
91.8,SS
92,SS
92.2,SH
92.4,SH
92.6,SH
92.8,SH
93,SH
93.2,SH
93.4,SH
93.6,SH
93.8,SH
94,SH
94.2,SH
94.4,SH
94.6,SH
94.8,SH
95,SH
95.2,SS
95.4,SS
95.6,SS
95.8,SS
96,SS
96.2,SS
96.4,SS
96.6,SS
96.8,SS
97,SS
97.2,SS
97.4,SS
97.6,SS
97.8,SS
98,SS
98.2,SS
98.4,SS
98.6,SS
98.8,SS
99,SS
99.2,SS
99.4,SS
99.6,SS
99.8,SS
100,SS
100.2,SS
100.4,SS
100.6,SS
100.8,SS
101,SS
101.2,SS
101.4,SS
101.6,SS
101.8,SS
102,SS
102.2,SS
102.4,SS
102.6,SS
102.8,SS
103,SS
103.2,SS
103.4,SS
103.6,SS
103.8,SS
104,SS
104.2,SS
104.4,SS
104.6,SS
104.8,SS
105,SS
105.2,DMT
105.4,DMT
105.6,DMT
105.8,DMT
106,DMT
106.2,DMT
106.4,DMT
106.6,DMT
106.8,DMT
107,DMT
107.2,DMT
107.4,DMT
107.6,DMT
107.8,DMT
108,DMT
108.2,DMT
108.4,DMT
108.6,DMT
108.8,DMT
109,DMT
109.2,DMT
109.4,DMT
109.6,DMT
109.8,DMT
110,DMT
110.2,DMT
110.4,DMT
110.6,DMT
110.8,DMT
111,DMT
111.2,DMT
111.4,DMT
111.6,DMT
111.8,DMT
112,DMT
112.2,DMT
112.4,DMT
112.6,DMT
112.8,DMT
113,DMT
113.2,DMT
113.4,DMT
113.6,DMT
113.8,DMT
114,DMT
114.2,DMT
114.4,DMT
114.6,DMT
114.8,DMT
115,DMT
115.2,DMT
115.4,DMT
115.6,DMT
115.8,DMT
116,DMT
116.2,DMT
116.4,DMT
116.6,DMT
116.8,DMT
117,DMT
117.2,DMT
117.4,DMT
117.6,DMT
117.8,DMT
118,DMT
118.2,DMT
118.4,DMT
118.6,DMT
118.8,DMT
119,DMT
119.2,DMT
119.4,DMT
119.6,DMT
119.8,DMT
120,DMT
120.2,DMT
120.4,DMT
120.6,DMT
120.8,DMT
121,DMT
121.2,DMT
121.4,DMT
121.6,DMT
121.8,DMT
122,DMT
122.2,DMT
122.4,DMT
122.6,DMT
122.8,DMT
123,DMT
123.2,DMT
123.4,DMT
123.6,DMT
123.8,DMT
124,DMT
124.2,DMT
124.4,DMT
124.6,DMT
124.8,DMT
125,DMT
125.2,DMT
125.4,DMT
125.6,DMT
125.8,DMT
126,DMT
126.2,DMT
126.4,DMT
126.6,DMT
126.8,DMT
127,DMT
127.2,DMT
127.4,DMT
127.6,DMT
127.8,DMT
128,DMT
128.2,DMT
128.4,DMT
128.6,DMT
128.8,DMT
129,DMT
129.2,DMT
129.4,DMT
129.6,DMT
129.8,DMT
130,DMT
130.2,DMT
130.4,DMT
130.6,DMT
130.8,DMT
131,DMT
131.2,DMT
131.4,DMT
131.6,DMT
131.8,DMT
132,DMT
132.2,DMT
132.4,DMT
132.6,DMT
132.8,DMT
133,DMT
133.2,DMT
133.4,DMT
133.6,DMT
133.8,DMT
134,DMT
134.2,DMT
134.4,DMT
134.6,DMT
134.8,DMT
135,DMT
135.2,DMT
135.4,DMT
135.6,DMT
135.8,DMT
136,DMT
136.2,DMT
136.4,DMT
136.6,DMT
136.8,DMT
137,DMT
137.2,DMT
137.4,DMT
137.6,DMT
137.8,DMT
138,DMT
138.2,DMT
138.4,DMT
138.6,DMT
138.8,DMT
139,DMT
139.2,DMT
139.4,DMT
139.6,DMT
139.8,DMT
140,DMT
140.2,DMT
140.4,DMT
140.6,DMT
140.8,DMT
141,DMT
141.2,DMT
141.4,DMT
141.6,DMT
141.8,DMT
142,DMT
142.2,DMT
142.4,DMT
142.6,DMT
142.8,DMT
143,DMT
143.2,DMT
143.4,DMT
143.6,DMT
143.8,DMT
144,DMT
144.2,DMT
144.4,DMT
144.6,DMT
144.8,DMT
145,DMT
145.2,DMT
145.4,DMT
145.6,DMT
145.8,DMT
146,DMT
146.2,DMT
146.4,DMT
146.6,DMT
146.8,DMT
147,DMT
147.2,DMT
147.4,DMT
147.6,DMT
147.8,DMT
148,DMT
148.2,DMT
148.4,DMT
148.6,DMT
148.8,DMT
149,DMT
149.2,DMT
149.4,DMT
149.6,DMT
149.8,DMT
150,DMT
150.2,DMT
150.4,DMT
150.6,DMT
150.8,DMT
151,DMT
151.2,DMT
151.4,DMT
151.6,DMT
151.8,DMT
152,DMT
152.2,DMT
152.4,DMT
152.6,DMT
152.8,DMT
153,DMT
153.2,DMT
153.4,DMT
153.6,DMT
153.8,DMT
154,DMT
154.2,DMT
154.4,DMT
154.6,DMT
154.8,DMT
