DEPTH,LITHOLOGY
15.0196,SH
15.172,SH
15.3244,SH
15.4768,SH
15.6292,SH
15.7816,SH
15.934,SH
16.0864,SH
16.2388,SH
16.3912,SH
16.5436,SH
16.696,SH
16.8484,SH
17.0008,SH
17.1532,SH
17.3056,SH
17.458,SH
17.6104,SH
17.7628,SH
17.9152,SH
18.0676,SH
18.22,SH
18.3724,SH
18.5248,SH
18.6772,SH
18.8296,SH
18.982,SH
19.1344,SH
19.2868,SH
19.4392,SH
19.5916,SH
19.744,SH
19.8964,SH
20.0488,SH
20.2012,SH
20.3536,SH
20.506,SH
20.6584,SH
20.8108,SH
20.9632,SH
21.1156,SH
21.268,SH
21.4204,SH
21.5728,SH
21.7252,SH
21.8776,SH
22.03,SH
22.1824,SH
22.3348,SH
22.4872,SH
22.6396,SH
22.792,SH
22.9444,SH
23.0968,SH
23.2492,SH
23.4016,SH
23.554,SH
23.7064,SH
23.8588,SH
24.0112,SH
24.1636,SH
24.316,SH
24.4684,SH
24.6208,SH
24.7732,SH
24.9256,SH
25.078,SH
25.2304,SH
25.3828,SH
25.5352,SH
25.6876,SH
25.84,SH
25.9924,SH
26.1448,SH
26.2972,SH
26.4496,SH
26.602,SH
26.7544,SH
26.9068,SH
27.0592,SH
27.2116,SH
27.364,SH
27.5164,SH
27.6688,SH
27.8212,SH
27.9736,SH
28.126,SH
28.2784,SH
28.4308,SH
28.5832,SH
28.7356,SH
28.888,SH
29.0404,SH
29.1928,SH
29.3452,SH
29.4976,SH
29.65,SH
29.8024,SH
29.9548,SH
30.1072,SH
30.2596,SH
30.412,SH
30.5644,SH
30.7168,SH
30.8692,SH
31.0216,SH
31.174,SH
31.3264,SH
31.4788,SH
31.6312,SH
31.7836,SH
31.936,SH
32.0884,SH
32.2408,SH
32.3932,SH
32.5456,SH
32.698,SH
32.8504,SH
33.0028,SH
33.1552,SH
33.3076,SH
33.46,SH
33.6124,SH
33.7648,SH
33.9172,SH
34.0696,SH
34.222,SH
34.3744,SH
34.5268,SH
34.6792,SH
34.8316,SH
34.984,SH
35.1364,SH
35.2888,SH
35.4412,SH
35.5936,SH
35.746,SH
35.8984,SH
36.0508,SH
36.2032,SH
36.3556,SH
36.508,SH
36.6604,SH
36.8128,SH
36.9652,SH
37.1176,SH
37.27,SH
37.4224,SH
37.5748,SH
37.7272,SH
37.8796,SH
38.032,SH
38.1844,SH
38.3368,SH
38.4892,SH
38.6416,SH
38.794,SH
38.9464,SH
39.0988,SH
39.2512,SH
39.4036,SH
39.556,SH
39.7084,SH
39.8608,SH
40.0132,SH
40.1656,SH
40.318,SH
40.4704,SH
40.6228,SH
40.7752,SH
40.9276,SH
41.08,SH
41.2324,SH
41.3848,SH
41.5372,SH
41.6896,SH
41.842,SH
41.9944,SH
42.1468,SH
42.2992,SH
42.4516,SH
42.604,SH
42.7564,SH
42.9088,SH
43.0612,SH
43.2136,SH
43.366,SH
43.5184,SH
43.6708,SH
43.8232,SH
43.9756,SH
44.128,SH
44.2804,SH
44.4328,SH
44.5852,SH
44.7376,SH
44.89,SH
45.0424,SH
45.1948,SH
45.3472,SH
45.4996,SH
45.652,SH
45.8044,SH
45.9568,SH
46.1092,SH
46.2616,SH
46.414,SH
46.5664,SH
46.7188,SH
46.8712,SH
47.0236,SH
47.176,SH
47.3284,SH
47.4808,SH
47.6332,SH
47.7856,SH
47.938,SH
48.0904,SH
48.2428,SH
48.3952,SH
48.5476,SH
48.7,SH
48.8524,SH
49.0048,SH
49.1572,SH
49.3096,SH
49.462,SH
49.6144,SH
49.7668,SH
49.9192,SH
50.0716,SH
50.224,SH
50.3764,SH
50.5288,SH
50.6812,SH
50.8336,SH
50.986,SH
51.1384,SH
51.2908,SH
51.4432,SH
51.5956,SH
51.748,SH
51.9004,SH
52.0528,SH
52.2052,SH
52.3576,SH
52.51,SH
52.6624,SH
52.8148,SH
52.9672,SH
53.1196,SH
53.272,SH
53.4244,SH
53.5768,SH
53.7292,SH
53.8816,SH
54.034,SH
54.1864,SH
54.3388,SH
54.4912,SH
54.6436,SH
54.796,SH
54.9484,SH
55.1008,SH
55.2532,SH
55.4056,SH
55.558,SH
55.7104,SH
