DEPTH,LITHOLOGY
3485.25,SS
3485.4,SS
3485.55,SS
3485.7,SS
3485.85,SS
3486,SS
3486.15,SS
3486.3,SS
3486.45,SS
3486.6,SS
3486.75,SS
3486.9,SS
3487.05,SS
3487.2,SS
3487.35,SS
3487.5,SS
3487.65,SS
3487.8,SS
3487.95,SS
3488.1,SS
3488.25,SS
3488.4,SS
3488.55,SS
3488.7,SS
3488.85,SS
3489,SH
3489.15,SH
3489.3,SH
3489.45,SH
3489.6,SH
3489.75,SH
3489.9,SH
3490.05,DMT
3490.2,DMT
3490.35,DMT
3490.5,DMT
3490.65,DMT
3490.8,DMT
3490.95,DMT
3491.1,DMT
3491.25,DMT
3491.4,DMT
3491.55,DMT
3491.7,DMT
3491.85,DMT
3492,DMT
3492.15,DMT
3492.3,DMT
3492.45,DMT
3492.6,DMT
3492.75,DMT
3492.9,DMT
3493.05,DMT
3493.2,DMT
3493.35,DMT
3493.5,DMT
3493.65,DMT
3493.8,DMT
3493.95,DMT
3494.1,DMT
3494.25,DMT
3494.4,DMT
3494.55,DMT
3494.7,DMT
3494.85,DMT
3495,DMT
3495.15,DMT
3495.3,DMT
3495.45,DMT
3495.6,DMT
3495.75,DMT
3495.9,DMT
3496.05,DMT
3496.2,DMT
3496.35,DMT
3496.5,DMT
3496.65,DMT
3496.8,DMT
3496.95,DMT
3497.1,DMT
3497.25,DMT
3497.4,DMT
3497.55,DMT
3497.7,DMT
3497.85,DMT
3498,DMT
3498.15,DMT
3498.3,DMT
3498.45,DMT
3498.6,DMT
3498.75,DMT
3498.9,DMT
3499.05,DMT
3499.2,DMT
3499.35,DMT
3499.5,DMT
3499.65,DMT
3499.8,DMT
3499.95,DMT
3500.1,DMT
3500.25,DMT
3500.4,DMT
3500.55,DMT
3500.7,DMT
3500.85,DMT
3501,DMT
3501.15,DMT
3501.3,DMT
3501.45,DMT
3501.6,DMT
3501.75,DMT
3501.9,DMT
3502.05,DMT
3502.2,DMT
3502.35,DMT
3502.5,DMT
3502.65,DMT
3502.8,DMT
3502.95,DMT
3503.1,DMT
3503.25,DMT
3503.4,DMT
3503.55,DMT
3503.7,DMT
3503.85,DMT
3504,DMT
3504.15,DMT
3504.3,DMT
3504.45,DMT
3504.6,DMT
3504.75,DMT
3504.9,DMT
3505.05,DMT
3505.2,DMT
3505.35,DMT
3505.5,DMT
3505.65,DMT
3505.8,DMT
3505.95,DMT
3506.1,DMT
3506.25,DMT
3506.4,DMT
3506.55,DMT
3506.7,DMT
3506.85,DMT
3507,DMT
3507.15,DMT
3507.3,DMT
3507.45,DMT
3507.6,DMT
3507.75,DMT
3507.9,DMT
3508.05,DMT
3508.2,DMT
3508.35,DMT
3508.5,DMT
3508.65,DMT
3508.8,DMT
3508.95,DMT
3509.1,DMT
3509.25,DMT
3509.4,DMT
3509.55,DMT
3509.7,DMT
3509.85,DMT
3510,DMT
3510.15,DMT
3510.3,DMT
3510.45,DMT
3510.6,DMT
3510.75,DMT
3510.9,DMT
3511.05,DMT
3511.2,DMT
3511.35,DMT
3511.5,DMT
3511.65,DMT
3511.8,DMT
3511.95,DMT
3512.1,DMT
3512.25,DMT
3512.4,DMT
3512.55,DMT
3512.7,DMT
3512.85,DMT
3513,DMT
3513.15,DMT
3513.3,DMT
3513.45,DMT
3513.6,DMT
3513.75,DMT
3513.9,DMT
3514.05,DMT
3514.2,DMT
3514.35,DMT
3514.5,DMT
3514.65,DMT
3514.8,DMT
3514.95,DMT
3515.1,DMT
3515.25,DMT
3515.4,DMT
3515.55,DMT
3515.7,DMT
3515.85,DMT
3516,DMT
3516.15,DMT
3516.3,DMT
3516.45,DMT
3516.6,DMT
3516.75,DMT
3516.9,DMT
3517.05,DMT
3517.2,DMT
3517.35,DMT
3517.5,DMT
3517.65,DMT
3517.8,DMT
3517.95,DMT
3518.1,DMT
3518.25,DMT
3518.4,DMT
3518.55,DMT
3518.7,DMT
3518.85,DMT
3519,DMT
3519.15,DMT
3519.3,DMT
3519.45,DMT
3519.6,DMT
3519.75,DMT
3519.9,DMT
3520.05,DMT
3520.2,DMT
3520.35,DMT
3520.5,DMT
3520.65,DMT
3520.8,DMT
3520.95,DMT
3521.1,DMT
3521.25,DMT
3521.4,DMT
3521.55,DMT
3521.7,DMT
3521.85,DMT
3522,DMT
3522.15,DMT
3522.3,DMT
3522.45,DMT
3522.6,DMT
3522.75,DMT
3522.9,DMT
3523.05,DMT
3523.2,DMT
3523.35,DMT
3523.5,DMT
3523.65,DMT
3523.8,DMT
3523.95,DMT
3524.1,DMT
3524.25,DMT
3524.4,DMT
3524.55,DMT
3524.7,DMT
3524.85,DMT
3525,DMT
3525.15,DMT
3525.3,DMT
3525.45,DMT
3525.6,DMT
3525.75,DMT
3525.9,DMT
3526.05,DMT
3526.2,DMT
3526.35,DMT
3526.5,DMT
3526.65,DMT
3526.8,DMT
3526.95,DMT
3527.1,DMT
3527.25,DMT
3527.4,DMT
3527.55,DMT
3527.7,DMT
3527.85,DMT
3528,DMT
3528.15,DMT
3528.3,DMT
3528.45,DMT
3528.6,DMT
3528.75,DMT
3528.9,DMT
3529.05,DMT
3529.2,DMT
3529.35,DMT
3529.5,DMT
3529.65,DMT
3529.8,DMT
3529.95,DMT
3530.1,DMT
3530.25,DMT
3530.4,DMT
3530.55,DMT
3530.7,DMT
3530.85,DMT
3531,DMT
3531.15,DMT
3531.3,DMT
3531.45,DMT
3531.6,DMT
3531.75,DMT
3531.9,DMT
3532.05,DMT
3532.2,DMT
3532.35,DMT
3532.5,DMT
3532.65,DMT
3532.8,DMT
3532.95,DMT
3533.1,DMT
3533.25,DMT
3533.4,DMT
3533.55,DMT
3533.7,DMT
3533.85,DMT
3534,DMT
3534.15,DMT
3534.3,DMT
3534.45,DMT
3534.6,DMT
3534.75,DMT
3534.9,DMT
3535.05,DMT
3535.2,DMT
3535.35,DMT
3535.5,DMT
3535.65,DMT
3535.8,DMT
3535.95,DMT
3536.1,DMT
3536.25,DMT
3536.4,DMT
3536.55,DMT
3536.7,DMT
3536.85,DMT
3537,DMT
3537.15,DMT
3537.3,DMT
3537.45,DMT
3537.6,DMT
3537.75,DMT
3537.9,DMT
3538.05,DMT
3538.2,DMT
3538.35,DMT
3538.5,DMT
3538.65,DMT
3538.8,DMT
3538.95,DMT
3539.1,DMT
3539.25,DMT
3539.4,DMT
3539.55,DMT
3539.7,DMT
3539.85,DMT
3540,DMT
3540.15,DMT
3540.3,DMT
3540.45,DMT
3540.6,DMT
3540.75,DMT
3540.9,DMT
3541.05,DMT
3541.2,DMT
3541.35,DMT
3541.5,DMT
3541.65,DMT
3541.8,DMT
3541.95,DMT
3542.1,DMT
3542.25,DMT
3542.4,DMT
3542.55,DMT
3542.7,DMT
3542.85,DMT
3543,DMT
3543.15,DMT
3543.3,DMT
3543.45,DMT
3543.6,DMT
3543.75,DMT
3543.9,DMT
3544.05,DMT
3544.2,DMT
3544.35,DMT
3544.5,DMT
3544.65,DMT
3544.8,DMT
3544.95,DMT
3545.1,DMT
3545.25,DMT
3545.4,DMT
3545.55,DMT
3545.7,DMT
3545.85,DMT
3546,DMT
3546.15,DMT
3546.3,DMT
3546.45,DMT
3546.6,DMT
3546.75,DMT
3546.9,DMT
3547.05,DMT
3547.2,DMT
3547.35,DMT
3547.5,DMT
3547.65,DMT
3547.8,DMT
3547.95,DMT
3548.1,DMT
3548.25,DMT
3548.4,DMT
3548.55,DMT
3548.7,DMT
3548.85,DMT
3549,DMT
3549.15,DMT
3549.3,DMT
3549.45,DMT
3549.6,DMT
3549.75,DMT
3549.9,DMT
3550.05,DMT
3550.2,DMT
3550.35,DMT
3550.5,DMT
3550.65,DMT
3550.8,DMT
3550.95,DMT
3551.1,DMT
3551.25,DMT
3551.4,DMT
3551.55,DMT
3551.7,DMT
3551.85,DMT
3552,DMT
3552.15,DMT
3552.3,DMT
3552.45,DMT
3552.6,DMT
3552.75,DMT
3552.9,DMT
3553.05,DMT
3553.2,DMT
3553.35,DMT
3553.5,DMT
3553.65,DMT
3553.8,DMT
3553.95,DMT
3554.1,DMT
3554.25,DMT
3554.4,DMT
3554.55,DMT
3554.7,DMT
3554.85,DMT
3555,DMT
3555.15,DMT
3555.3,DMT
3555.45,DMT
3555.6,DMT
3555.75,DMT
3555.9,DMT
3556.05,DMT
3556.2,DMT
3556.35,DMT
3556.5,DMT
3556.65,DMT
3556.8,DMT
3556.95,DMT
3557.1,DMT
3557.25,DMT
3557.4,DMT
3557.55,DMT
3557.7,DMT
3557.85,DMT
