DEPTH,LITHOLOGY
3263.55,SS
3263.7,SS
3263.85,SS
3264,SS
3264.15,SS
3264.3,SS
3264.45,SS
3264.6,SS
3264.75,SS
3264.9,SS
3265.05,ST
3265.2,ST
3265.35,ST
3265.5,ST
3265.65,ST
3265.8,ST
3265.95,ST
3266.1,ST
3266.25,ST
3266.4,ST
3266.55,ST
3266.7,ST
3266.85,ST
3267,ST
3267.15,ST
3267.3,ST
3267.45,ST
3267.6,ST
3267.75,ST
3267.9,ST
3268.05,ST
3268.2,ST
3268.35,ST
3268.5,ST
3268.65,ST
3268.8,ST
3268.95,ST
3269.1,DMT
3269.25,DMT
3269.4,DMT
3269.55,DMT
3269.7,DMT
3269.85,DMT
3270,DMT
3270.15,DMT
3270.3,DMT
3270.45,DMT
3270.6,DMT
3270.75,DMT
3270.9,DMT
3271.05,DMT
3271.2,DMT
3271.35,DMT
3271.5,DMT
3271.65,DMT
3271.8,DMT
3271.95,DMT
3272.1,DMT
3272.25,DMT
3272.4,DMT
3272.55,DMT
3272.7,DMT
3272.85,DMT
3273,DMT
3273.15,DMT
3273.3,DMT
3273.45,DMT
3273.6,DMT
3273.75,DMT
3273.9,DMT
3274.05,DMT
3274.2,DMT
3274.35,DMT
3274.5,DMT
3274.65,DMT
3274.8,DMT
3274.95,DMT
3275.1,DMT
3275.25,DMT
3275.4,DMT
3275.55,DMT
3275.7,DMT
3275.85,DMT
3276,SS
3276.15,SS
3276.3,SS
3276.45,SS
3276.6,SS
3276.75,SS
3276.9,SS
3277.05,SS
3277.2,SS
3277.35,SS
3277.5,SS
3277.65,SS
3277.8,SS
3277.95,SS
3278.1,ST
3278.25,ST
3278.4,ST
3278.55,ST
3278.7,ST
3278.85,ST
3279,ST
3279.15,ST
3279.3,ST
3279.45,ST
3279.6,ST
3279.75,ST
3279.9,ST
3280.05,ST
3280.2,ST
3280.35,ST
3280.5,ST
3280.65,ST
3280.8,ST
3280.95,ST
3281.1,ST
3281.25,ST
3281.4,ST
3281.55,ST
3281.7,ST
3281.85,ST
3282,ST
3282.15,ST
3282.3,ST
3282.45,ST
3282.6,ST
3282.75,ST
3282.9,ST
3283.05,ST
3283.2,ST
3283.35,ST
3283.5,ST
3283.65,ST
3283.8,ST
3283.95,ST
3284.1,ST
3284.25,ST
3284.4,ST
3284.55,ST
3284.7,ST
3284.85,ST
3285,ST
3285.15,ST
3285.3,ST
3285.45,ST
3285.6,ST
3285.75,ST
3285.9,ST
3286.05,DMT
3286.2,DMT
3286.35,DMT
3286.5,DMT
3286.65,DMT
3286.8,DMT
3286.95,DMT
3287.1,DMT
3287.25,DMT
3287.4,DMT
3287.55,DMT
3287.7,DMT
3287.85,DMT
3288,DMT
3288.15,DMT
3288.3,DMT
3288.45,DMT
3288.6,DMT
3288.75,DMT
3288.9,DMT
3289.05,DMT
3289.2,DMT
3289.35,DMT
3289.5,DMT
3289.65,DMT
3289.8,DMT
3289.95,DMT
3290.1,DMT
3290.25,DMT
3290.4,DMT
3290.55,DMT
3290.7,DMT
3290.85,DMT
3291,DMT
3291.15,DMT
3291.3,DMT
3291.45,DMT
3291.6,DMT
3291.75,DMT
3291.9,DMT
3292.05,DMT
3292.2,DMT
3292.35,DMT
3292.5,DMT
3292.65,DMT
3292.8,DMT
3292.95,DMT
3293.1,SS
3293.25,SS
3293.4,SS
3293.55,SS
3293.7,SS
3293.85,SS
3294,SS
3294.15,SS
3294.3,SS
3294.45,SS
3294.6,SS
3294.75,SS
3294.9,SS
3295.05,DMT
3295.2,DMT
3295.35,DMT
3295.5,DMT
3295.65,DMT
3295.8,DMT
3295.95,DMT
3296.1,DMT
3296.25,DMT
3296.4,DMT
3296.55,DMT
3296.7,DMT
3296.85,DMT
3297,DMT
3297.15,DMT
3297.3,DMT
3297.45,DMT
3297.6,DMT
3297.75,DMT
3297.9,DMT
3298.05,DMT
3298.2,DMT
3298.35,DMT
3298.5,DMT
3298.65,DMT
3298.8,DMT
3298.95,DMT
3299.1,DMT
3299.25,DMT
3299.4,DMT
3299.55,DMT
3299.7,DMT
3299.85,DMT
3300,DMT
3300.15,DMT
3300.3,DMT
3300.45,DMT
3300.6,DMT
3300.75,DMT
3300.9,DMT
3301.05,DMT
3301.2,DMT
3301.35,DMT
3301.5,DMT
3301.65,DMT
3301.8,DMT
3301.95,DMT
3302.1,ST
3302.25,ST
3302.4,ST
3302.55,ST
3302.7,ST
3302.85,ST
3303,ST
3303.15,ST
3303.3,ST
3303.45,ST
3303.6,ST
3303.75,ST
3303.9,ST
3304.05,ST
3304.2,ST
3304.35,ST
3304.5,ST
3304.65,ST
3304.8,ST
3304.95,ST
3305.1,SS
3305.25,SS
3305.4,SS
3305.55,SS
3305.7,SS
3305.85,SS
3306,ST
3306.15,ST
3306.3,ST
3306.45,ST
3306.6,ST
3306.75,ST
3306.9,ST
3307.05,SS
3307.2,SS
3307.35,SS
3307.5,SS
3307.65,SS
3307.8,SS
3307.95,SS
3308.1,SS
3308.25,SS
3308.4,SS
3308.55,SS
3308.7,SS
3308.85,SS
3309,SS
3309.15,SS
3309.3,SS
3309.45,SS
3309.6,SS
3309.75,SS
3309.9,SS
3310.05,SS
3310.2,SS
3310.35,SS
3310.5,SS
3310.65,SS
3310.8,SS
3310.95,SS
3311.1,SS
3311.25,SS
3311.4,SS
3311.55,SS
3311.7,SS
3311.85,SS
3312,SS
3312.15,SS
3312.3,SS
3312.45,SS
3312.6,SS
3312.75,SS
3312.9,SS
3313.05,SS
3313.2,SS
3313.35,SS
3313.5,SS
3313.65,SS
3313.8,SS
3313.95,SS
3314.1,SS
3314.25,SS
3314.4,SS
3314.55,SS
3314.7,SS
3314.85,SS
3315,DMT
3315.15,DMT
3315.3,DMT
3315.45,DMT
3315.6,DMT
3315.75,DMT
3315.9,DMT
3316.05,DMT
3316.2,DMT
3316.35,DMT
3316.5,DMT
3316.65,DMT
3316.8,DMT
3316.95,DMT
3317.1,SS
3317.25,SS
3317.4,SS
3317.55,SS
3317.7,SS
3317.85,SS
3318,SS
3318.15,SS
3318.3,SS
3318.45,SS
3318.6,SS
3318.75,SS
3318.9,SS
3319.05,DMT
3319.2,DMT
3319.35,DMT
3319.5,DMT
3319.65,DMT
3319.8,DMT
3319.95,DMT
3320.1,DMT
3320.25,DMT
3320.4,DMT
3320.55,DMT
3320.7,DMT
3320.85,DMT
3321,ST
3321.15,ST
3321.3,ST
3321.45,ST
3321.6,ST
3321.75,ST
3321.9,ST
3322.05,SS
3322.2,SS
3322.35,SS
3322.5,SS
3322.65,SS
3322.8,SS
3322.95,SS
3323.1,SS
3323.25,SS
3323.4,SS
3323.55,SS
3323.7,SS
3323.85,SS
3324,DMT
3324.15,DMT
3324.3,DMT
3324.45,DMT
3324.6,DMT
3324.75,DMT
3324.9,DMT
3325.05,SS
3325.2,SS
3325.35,SS
3325.5,SS
3325.65,SS
3325.8,SS
3325.95,SS
3326.1,SS
3326.25,SS
3326.4,SS
3326.55,SS
3326.7,SS
3326.85,SS
3327,SS
3327.15,SS
3327.3,SS
3327.45,SS
3327.6,SS
3327.75,SS
3327.9,SS
3328.05,DMT
3328.2,DMT
3328.35,DMT
3328.5,DMT
3328.65,DMT
3328.8,DMT
3328.95,DMT
3329.1,DMT
3329.25,DMT
3329.4,DMT
3329.55,DMT
3329.7,DMT
3329.85,DMT
3330,DMT
3330.15,DMT
3330.3,DMT
3330.45,DMT
3330.6,DMT
3330.75,DMT
3330.9,DMT
3331.05,DMT
3331.2,DMT
3331.35,DMT
3331.5,DMT
3331.65,DMT
3331.8,DMT
3331.95,DMT
3332.1,DMT
3332.25,DMT
3332.4,DMT
3332.55,DMT
3332.7,DMT
3332.85,DMT
3333,DMT
3333.15,DMT
3333.3,DMT
3333.45,DMT
3333.6,DMT
3333.75,DMT
3333.9,DMT
3334.05,DMT
3334.2,DMT
3334.35,DMT
3334.5,DMT
3334.65,DMT
3334.8,DMT
3334.95,DMT
3335.1,DMT
3335.25,DMT
3335.4,DMT
3335.55,DMT
3335.7,DMT
3335.85,DMT
3336,DMT
3336.15,DMT
3336.3,DMT
3336.45,DMT
3336.6,DMT
3336.75,DMT
3336.9,DMT
3337.05,DMT
3337.2,DMT
3337.35,DMT
3337.5,DMT
3337.65,DMT
3337.8,DMT
3337.95,DMT
3338.1,SS
3338.25,SS
3338.4,SS
3338.55,SS
3338.7,SS
3338.85,SS
3339,SS
3339.15,SS
3339.3,SS
3339.45,SS
3339.6,SS
3339.75,SS
3339.9,SS
3340.05,SS
3340.2,SS
3340.35,SS
3340.5,SS
3340.65,SS
3340.8,SS
3340.95,SS
3341.1,SS
3341.25,SS
3341.4,SS
3341.55,SS
3341.7,SS
3341.85,SS
3342,SS
3342.15,SS
3342.3,SS
3342.45,SS
3342.6,SS
3342.75,SS
3342.9,SS
3343.05,SS
3343.2,SS
3343.35,SS
3343.5,SS
3343.65,SS
3343.8,SS
3343.95,SS
3344.1,SS
3344.25,SS
3344.4,SS
3344.55,SS
3344.7,SS
3344.85,SS
3345,SS
3345.15,SS
3345.3,SS
3345.45,SS
3345.6,SS
3345.75,SS
3345.9,SS
3346.05,IGN
3346.2,IGN
3346.35,IGN
3346.5,IGN
3346.65,IGN
3346.8,IGN
3346.95,IGN
3347.1,IGN
3347.25,IGN
3347.4,IGN
3347.55,IGN
3347.7,IGN
3347.85,IGN
3348,IGN
3348.15,IGN
3348.3,IGN
3348.45,IGN
3348.6,IGN
3348.75,IGN
3348.9,IGN
3349.05,IGN
3349.2,IGN
3349.35,IGN
3349.5,IGN
3349.65,IGN
