DEPTH,LITHOLOGY
1.5,SS
1.6,SS
1.7,SS
1.8,SS
1.9,SS
2,SS
2.1,SS
2.2,SS
2.3,SS
2.4,SS
2.5,SS
2.6,SS
2.7,SS
2.8,SS
2.9,ST
3,ST
3.1,ST
3.2,ST
3.3,ST
3.4,ST
3.5,ST
3.6,ST
3.7,ST
3.8,ST
3.9,ST
4,ST
4.1,ST
4.2,ST
4.3,ST
4.4,ST
4.5,ST
4.6,ST
4.7,ST
4.8,ST
4.9,ST
5,ST
5.1,ST
5.2,ST
5.3,ST
5.4,ST
5.5,ST
5.6,ST
5.7,ST
5.8,ST
5.9,ST
6,ST
6.1,ST
6.2,ST
6.3,SS
6.4,SS
6.5,SS
6.6,SS
6.7,SS
6.8,SS
6.9,SS
7,SS
7.1,SS
7.2,SS
7.3,SS
7.4,SS
7.5,SS
7.6,SS
7.7,SS
7.8,SS
7.9,SS
8,SS
8.1,SS
8.2,SS
8.3,ST
8.4,ST
8.5,ST
8.6,ST
8.7,ST
8.8,ST
8.9,ST
9,ST
9.1,ST
9.2,ST
9.3,ST
9.4,ST
9.5,ST
9.6,ST
9.7,ST
9.8,ST
9.9,ST
10,ST
10.1,ST
10.2,ST
10.3,ST
10.4,ST
10.5,ST
10.6,ST
10.7,ST
10.8,SH
10.9,SH
11,SH
11.1,SH
11.2,SH
11.3,SH
11.4,SH
11.5,SH
11.6,SH
11.7,SH
11.8,SH
11.9,SH
12,SH
12.1,SH
12.2,SH
12.3,SH
12.4,SH
12.5,SH
12.6,SH
12.7,SH
12.8,SH
12.9,SH
13,SH
13.1,SH
13.2,SH
13.3,SH
13.4,SH
13.5,SH
13.6,SS
13.7,SS
13.8,SS
13.9,SS
14,SS
14.1,SS
14.2,SS
14.3,SS
14.4,SS
14.5,SS
14.6,SS
14.7,SS
14.8,SS
14.9,SS
15,SH
15.1,SH
15.2,SH
15.3,SH
15.4,SH
15.5,SH
15.6,SH
15.7,SH
15.8,SH
15.9,SH
16,SS
16.1,SH
16.2,SH
16.3,SH
16.4,SH
16.5,SS
16.6,SH
16.7,SH
16.8,SH
16.9,SS
17,SS
17.1,SH
17.2,SH
17.3,SH
17.4,SS
17.5,SH
17.6,SH
17.7,SH
17.8,SS
17.9,SS
18,SH
18.1,SH
18.2,SH
18.3,SS
18.4,SH
18.5,SH
18.6,SH
18.7,SH
18.8,SS
18.9,SS
19,SH
19.1,SH
19.2,SS
19.3,SH
19.4,SH
19.5,SH
19.6,SS
19.7,SH
19.8,SH
19.9,SH
20,SH
20.1,SS
