DEPTH,LITHOLOGY
4004.1,SH
4004.25,SH
4004.4,SH
4004.55,SH
4004.7,SH
4004.85,SH
4005,SH
4005.15,SH
4005.3,SH
4005.45,SH
4005.6,SH
4005.75,SH
4005.9,SH
4006.05,SH
4006.2,SH
4006.35,SH
4006.5,SH
4006.65,SH
4006.8,SH
4006.95,SH
4007.1,SH
4007.25,SS
4007.4,SS
4007.55,SS
4007.7,SS
4007.85,SS
4008,SS
4008.15,SS
4008.3,SS
4008.45,SS
4008.6,SS
4008.75,SS
4008.9,SS
4009.05,SS
4009.2,SS
4009.35,SS
4009.5,SS
4009.65,SS
4009.8,SS
4009.95,SS
4010.1,SS
4010.25,SS
4010.4,SS
4010.55,SS
4010.7,SS
4010.85,SS
4011,SS
4011.15,SS
4011.3,SS
4011.45,SS
4011.6,SS
4011.75,SS
4011.9,SS
4012.05,SS
4012.2,SS
4012.35,SS
4012.5,SS
4012.65,SS
4012.8,SS
4012.95,SS
4013.1,SS
4013.25,SS
4013.4,SS
4013.55,SS
4013.7,SS
4013.85,SS
4014,SS
4014.15,SS
4014.3,SS
4014.45,SS
4014.6,SS
4014.75,SS
4014.9,SS
4015.05,SS
4015.2,SS
4015.35,SS
4015.5,SS
4015.65,SS
4015.8,SS
4015.95,SS
4016.1,SS
4016.25,SS
4016.4,SS
4016.55,SS
4016.7,SS
4016.85,SS
4017,SS
4017.15,SS
4017.3,SS
4017.45,SS
4017.6,SS
4017.75,SS
4017.9,SS
4018.05,SS
4018.2,IGN
4018.35,IGN
4018.5,IGN
4018.65,IGN
4018.8,IGN
4018.95,IGN
4019.1,IGN
4019.25,IGN
4019.4,IGN
4019.55,IGN
4019.7,IGN
4019.85,IGN
4020,IGN
4020.15,IGN
4020.3,IGN
4020.45,IGN
4020.6,IGN
4020.75,IGN
4020.9,IGN
4021.05,IGN
4021.2,IGN
4021.35,IGN
4021.5,IGN
4021.65,IGN
4021.8,IGN
4021.95,IGN
4022.1,IGN
4022.25,IGN
4022.4,IGN
4022.55,IGN
4022.7,IGN
4022.85,IGN
4023,IGN
4023.15,IGN
4023.3,IGN
4023.45,IGN
4023.6,IGN
4023.75,IGN
4023.9,IGN
4024.05,IGN
4024.2,IGN
4024.35,IGN
4024.5,IGN
4024.65,IGN
4024.8,IGN
4024.95,IGN
4025.1,IGN
4025.25,IGN
4025.4,IGN
4025.55,IGN
4025.7,IGN
4025.85,IGN
4026,IGN
4026.15,IGN
4026.3,IGN
4026.45,IGN
4026.6,IGN
4026.75,IGN
4026.9,IGN
4027.05,IGN
4027.2,IGN
4027.35,IGN
4027.5,IGN
4027.65,IGN
4027.8,IGN
4027.95,IGN
4028.1,IGN
4028.25,SH
4028.4,SH
4028.55,SH
4028.7,SH
4028.85,SH
4029,SH
4029.15,SH
4029.3,SH
4029.45,SH
4029.6,SH
4029.75,SH
4029.9,SH
4030.05,SH
4030.2,SH
4030.35,SH
4030.5,SH
4030.65,SH
4030.8,SH
4030.95,SH
4031.1,SH
4031.25,SH
4031.4,SH
4031.55,SH
4031.7,SH
4031.85,SH
4032,SH
4032.15,SS
4032.3,SS
4032.45,SS
4032.6,SS
4032.75,SS
4032.9,SS
4033.05,SS
4033.2,SS
4033.35,SS
4033.5,SS
4033.65,SS
4033.8,SS
4033.95,SS
4034.1,SS
4034.25,SS
4034.4,SS
4034.55,SS
4034.7,SS
4034.85,SS
4035,SS
4035.15,SH
4035.3,SH
4035.45,SH
4035.6,SH
4035.75,SH
4035.9,SH
4036.05,SH
4036.2,SH
4036.35,SH
4036.5,SH
4036.65,SH
4036.8,SH
4036.95,SH
4037.1,SH
4037.25,SH
4037.4,SH
4037.55,SH
4037.7,SH
4037.85,SH
4038,SH
4038.15,SH
4038.3,SH
4038.45,SH
4038.6,SH
4038.75,SH
4038.9,SH
4039.05,SH
4039.2,SH
4039.35,SH
4039.5,SH
4039.65,SH
4039.8,SH
4039.95,SH
4040.1,SH
4040.25,SH
4040.4,SH
4040.55,SH
4040.7,SH
4040.85,SH
4041,SH
4041.15,SH
4041.3,SH
4041.45,SH
4041.6,SH
4041.75,SH
4041.9,SH
4042.05,SH
4042.2,SH
4042.35,SH
4042.5,SH
4042.65,SH
4042.8,SH
4042.95,SH
4043.1,SH
4043.25,SH
4043.4,SH
4043.55,SH
4043.7,SH
4043.85,SH
4044,SH
4044.15,SH
4044.3,SH
4044.45,SH
4044.6,SH
4044.75,SH
4044.9,SH
4045.05,SH
4045.2,SH
4045.35,SH
4045.5,SH
4045.65,SH
4045.8,SH
4045.95,SH
4046.1,SH
4046.25,SH
4046.4,SH
4046.55,SH
4046.7,SH
4046.85,SH
4047,SH
4047.15,SH
4047.3,SH
4047.45,SH
4047.6,SH
4047.75,SH
4047.9,SH
4048.05,SH
4048.2,SH
4048.35,SH
4048.5,SH
4048.65,SH
4048.8,SH
4048.95,SH
4049.1,SH
4049.25,SH
4049.4,SH
4049.55,SH
4049.7,SH
4049.85,SH
4050,SH
4050.15,SH
4050.3,SH
4050.45,SH
4050.6,SH
4050.75,SH
4050.9,SH
4051.05,SH
4051.2,SH
4051.35,SH
4051.5,SH
4051.65,SH
4051.8,SH
4051.95,SH
4052.1,SH
4052.25,SH
4052.4,SH
4052.55,SH
4052.7,SH
4052.85,SH
4053,SH
4053.15,SH
4053.3,SH
4053.45,SH
4053.6,SH
4053.75,SH
4053.9,SH
4054.05,SH
4054.2,SH
4054.35,SH
4054.5,SH
4054.65,SH
4054.8,SH
4054.95,SH
4055.1,SH
4055.25,SH
4055.4,SH
4055.55,SH
4055.7,SH
4055.85,SH
4056,SH
4056.15,SH
4056.3,SH
4056.45,SH
4056.6,SH
4056.75,SH
4056.9,SH
4057.05,SH
4057.2,SH
4057.35,SH
4057.5,SH
4057.65,SH
4057.8,SH
4057.95,SH
4058.1,SH
4058.25,SH
4058.4,SH
4058.55,SH
4058.7,SH
4058.85,SH
4059,SH
4059.15,DMT
4059.3,DMT
4059.45,DMT
4059.6,DMT
4059.75,DMT
4059.9,DMT
4060.05,DMT
4060.2,DMT
4060.35,DMT
4060.5,DMT
4060.65,DMT
4060.8,DMT
4060.95,DMT
4061.1,DMT
4061.25,DMT
4061.4,DMT
4061.55,DMT
4061.7,DMT
4061.85,DMT
4062,DMT
4062.15,DMT
4062.3,DMT
4062.45,DMT
4062.6,DMT
4062.75,DMT
4062.9,DMT
4063.05,DMT
4063.2,DMT
4063.35,DMT
4063.5,DMT
4063.65,DMT
4063.8,DMT
4063.95,DMT
4064.1,DMT
4064.25,DMT
4064.4,DMT
4064.55,DMT
4064.7,DMT
4064.85,DMT
4065,DMT
4065.15,DMT
4065.3,DMT
4065.45,DMT
4065.6,DMT
4065.75,DMT
4065.9,DMT
4066.05,DMT
4066.2,DMT
4066.35,DMT
4066.5,DMT
4066.65,DMT
4066.8,DMT
4066.95,DMT
4067.1,DMT
4067.25,DMT
4067.4,DMT
4067.55,DMT
4067.7,DMT
4067.85,DMT
4068,DMT
4068.15,DMT
4068.3,DMT
4068.45,DMT
4068.6,DMT
4068.75,DMT
4068.9,DMT
4069.05,DMT
4069.2,DMT
4069.35,DMT
4069.5,DMT
4069.65,DMT
4069.8,DMT
4069.95,DMT
4070.1,DMT
4070.25,DMT
4070.4,DMT
4070.55,DMT
4070.7,DMT
4070.85,DMT
4071,DMT
4071.15,DMT
4071.3,DMT
4071.45,DMT
4071.6,DMT
4071.75,DMT
