DEPTH,LITHOLOGY
43.1292,IGN
43.2816,IGN
43.434,IGN
43.5864,IGN
43.7388,IGN
43.8912,IGN
44.0436,IGN
44.196,IGN
44.3484,IGN
44.5008,IGN
44.6532,IGN
44.8056,IGN
44.958,IGN
45.1104,IGN
45.2628,IGN
45.4152,IGN
45.5676,IGN
45.72,IGN
45.8724,IGN
46.0248,IGN
46.1772,IGN
46.3296,IGN
46.482,IGN
46.6344,IGN
46.7868,IGN
46.9392,IGN
47.0916,IGN
47.244,IGN
47.3964,IGN
47.5488,IGN
47.7012,IGN
47.8536,IGN
48.006,IGN
48.1584,IGN
48.3108,IGN
48.4632,IGN
48.6156,IGN
48.768,IGN
48.9204,IGN
49.0728,IGN
49.2252,IGN
49.3776,IGN
49.53,IGN
49.6824,IGN
49.8348,IGN
49.9872,IGN
50.1396,IGN
50.292,IGN
50.4444,IGN
50.5968,IGN
50.7492,IGN
50.9016,IGN
51.054,IGN
51.2064,IGN
51.3588,IGN
51.5112,IGN
51.6636,IGN
51.816,IGN
51.9684,IGN
52.1208,IGN
52.2732,IGN
52.4256,IGN
52.578,IGN
52.7304,IGN
52.8828,IGN
53.0352,IGN
53.1876,IGN
53.34,IGN
53.4924,IGN
53.6448,IGN
53.7972,IGN
53.9496,IGN
54.102,IGN
54.2544,IGN
54.4068,IGN
54.5592,IGN
54.7116,IGN
54.864,IGN
55.0164,IGN
55.1688,IGN
55.3212,IGN
55.4736,IGN
55.626,IGN
55.7784,IGN
55.9308,IGN
56.0832,IGN
56.2356,IGN
56.388,IGN
56.5404,IGN
56.6928,IGN
56.8452,IGN
56.9976,IGN
57.15,IGN
57.3024,IGN
57.4548,IGN
57.6072,IGN
57.7596,IGN
57.912,IGN
58.0644,IGN
58.2168,IGN
58.3692,IGN
58.5216,IGN
58.674,IGN
58.8264,IGN
58.9788,IGN
59.1312,IGN
59.2836,IGN
59.436,IGN
59.5884,IGN
59.7408,IGN
59.8932,IGN
60.0456,IGN
60.198,IGN
60.3504,IGN
60.5028,IGN
60.6552,IGN
60.8076,IGN
60.96,IGN
61.1124,IGN
61.2648,IGN
61.4172,IGN
61.5696,IGN
61.722,IGN
61.8744,IGN
62.0268,IGN
62.1792,IGN
62.3316,IGN
62.484,IGN
62.6364,IGN
62.7888,IGN
62.9412,IGN
63.0936,IGN
63.246,IGN
63.3984,IGN
63.5508,IGN
63.7032,IGN
63.8556,IGN
64.008,IGN
64.1604,IGN
64.3128,IGN
64.4652,IGN
64.6176,IGN
64.77,IGN
64.9224,IGN
65.0748,IGN
65.2272,IGN
65.3796,IGN
65.532,IGN
65.6844,IGN
65.8368,IGN
65.9892,IGN
66.1416,IGN
66.294,IGN
66.4464,IGN
66.5988,IGN
66.7512,IGN
66.9036,IGN
67.056,IGN
67.2084,IGN
67.3608,IGN
67.5132,IGN
67.6656,IGN
67.818,IGN
67.9704,IGN
68.1228,IGN
68.2752,IGN
68.4276,IGN
68.58,IGN
68.7324,IGN
68.8848,IGN
69.0372,IGN
69.1896,IGN
69.342,IGN
69.4944,IGN
69.6468,IGN
69.7992,IGN
69.9516,IGN
70.104,IGN
70.2564,IGN
70.4088,IGN
70.5612,IGN
70.7136,IGN
70.866,IGN
71.0184,IGN
71.1708,IGN
71.3232,IGN
71.4756,IGN
71.628,IGN
71.7804,IGN
71.9328,IGN
72.0852,IGN
72.2376,IGN
72.39,IGN
72.5424,IGN
72.6948,IGN
72.8472,IGN
72.9996,IGN
73.152,IGN
73.3044,IGN
73.4568,IGN
73.6092,IGN
73.7616,IGN
73.914,IGN
74.0664,IGN
74.2188,IGN
74.3712,IGN
74.5236,IGN
74.676,IGN
74.8284,IGN
74.9808,IGN
75.1332,IGN
75.2856,IGN
75.438,IGN
75.5904,IGN
75.7428,IGN
75.8952,IGN
76.0476,IGN
76.2,IGN
76.3524,IGN
76.5048,IGN
76.6572,IGN
76.8096,IGN
76.962,IGN
77.1144,IGN
77.2668,IGN
77.4192,IGN
77.5716,IGN
77.724,IGN
77.8764,IGN
78.0288,IGN
78.1812,IGN
78.3336,IGN
78.486,IGN
78.6384,IGN
78.7908,IGN
78.9432,IGN
79.0956,IGN
79.248,IGN
79.4004,IGN
79.5528,IGN
79.7052,IGN
79.8576,IGN
80.01,IGN
80.1624,IGN
80.3148,IGN
80.4672,IGN
80.6196,IGN
80.772,IGN
80.9244,IGN
81.0768,IGN
81.2292,IGN
81.3816,IGN
81.534,IGN
81.6864,IGN
81.8388,IGN
81.9912,IGN
82.1436,IGN
82.296,IGN
82.4484,IGN
82.6008,IGN
82.7532,IGN
82.9056,IGN
83.058,IGN
83.2104,IGN
83.3628,IGN
83.5152,IGN
83.6676,IGN
83.82,IGN
83.9724,IGN
84.1248,IGN
84.2772,IGN
84.4296,IGN
84.582,IGN
84.7344,IGN
84.8868,IGN
85.0392,IGN
85.1916,IGN
85.344,IGN
85.4964,IGN
85.6488,IGN
85.8012,IGN
85.9536,IGN
86.106,IGN
86.2584,IGN
86.4108,IGN
86.5632,IGN
86.7156,IGN
86.868,IGN
87.0204,IGN
87.1728,IGN
87.3252,IGN
87.4776,IGN
87.63,IGN
87.7824,IGN
87.9348,IGN
88.0872,IGN
88.2396,IGN
88.392,IGN
88.5444,IGN
88.6968,IGN
88.8492,IGN
89.0016,IGN
89.154,IGN
89.3064,IGN
89.4588,IGN
89.6112,IGN
89.7636,IGN
89.916,IGN
90.0684,IGN
90.2208,IGN
90.3732,IGN
90.5256,IGN
90.678,IGN
90.8304,IGN
90.9828,IGN
91.1352,IGN
91.2876,IGN
91.44,IGN
91.5924,IGN
91.7448,IGN
91.8972,IGN
92.0496,IGN
92.202,IGN
92.3544,IGN
92.5068,IGN
92.6592,IGN
92.8116,IGN
92.964,IGN
93.1164,IGN
93.2688,IGN
93.4212,IGN
93.5736,IGN
93.726,IGN
93.8784,IGN
94.0308,IGN
94.1832,IGN
94.3356,IGN
94.488,IGN
94.6404,IGN
94.7928,IGN
94.9452,IGN
95.0976,IGN
95.25,IGN
95.4024,IGN
95.5548,IGN
95.7072,IGN
95.8596,IGN
96.012,IGN
96.1644,IGN
96.3168,IGN
96.4692,IGN
96.6216,IGN
96.774,IGN
96.9264,IGN
97.0788,IGN
97.2312,IGN
97.3836,IGN
97.536,IGN
97.6884,IGN
97.8408,IGN
97.9932,IGN
98.1456,IGN
98.298,IGN
98.4504,IGN
98.6028,IGN
98.7552,IGN
98.9076,IGN
99.06,IGN
99.2124,IGN
99.3648,IGN
99.5172,IGN
99.6696,IGN
99.822,IGN
99.9744,IGN
100.1268,IGN
100.2792,IGN
100.4316,IGN
100.584,IGN
100.7364,IGN
100.8888,IGN
101.0412,IGN
101.1936,IGN
101.346,IGN
101.4984,IGN
101.6508,IGN
101.8032,IGN
101.9556,IGN
102.108,IGN
102.2604,IGN
102.4128,IGN
102.5652,IGN
102.7176,IGN
102.87,IGN
103.0224,IGN
103.1748,IGN
103.3272,IGN
103.4796,IGN
103.632,IGN
103.7844,IGN
103.9368,IGN
104.0892,IGN
104.2416,IGN
104.394,IGN
104.5464,IGN
104.6988,IGN
104.8512,IGN
105.0036,IGN
105.156,IGN
105.3084,IGN
105.4608,IGN
105.6132,IGN
105.7656,IGN
105.918,IGN
106.0704,IGN
106.2228,IGN
106.3752,IGN
106.5276,IGN
106.68,IGN
106.8324,IGN
106.9848,IGN
107.1372,IGN
107.2896,IGN
107.442,IGN
107.5944,IGN
107.7468,IGN
107.8992,IGN
108.0516,IGN
108.204,IGN
108.3564,IGN
108.5088,IGN
108.6612,IGN
108.8136,IGN
108.966,IGN
109.1184,IGN
109.2708,IGN
109.4232,IGN
109.5756,IGN
109.728,IGN
109.8804,IGN
110.0328,IGN
110.1852,IGN
110.3376,IGN
110.49,IGN
110.6424,IGN
110.7948,IGN
110.9472,IGN
111.0996,IGN
111.252,IGN
111.4044,IGN
111.5568,IGN
111.7092,IGN
111.8616,IGN
112.014,IGN
112.1664,IGN
112.3188,IGN
112.4712,IGN
112.6236,IGN
112.776,IGN
112.9284,IGN
113.0808,IGN
113.2332,IGN
113.3856,IGN
113.538,IGN
113.6904,IGN
113.8428,IGN
113.9952,IGN
114.1476,IGN
114.3,IGN
114.4524,IGN
114.6048,IGN
114.7572,IGN
114.9096,IGN
115.062,IGN
115.2144,IGN
115.3668,IGN
115.5192,IGN
115.6716,IGN
115.824,IGN
115.9764,IGN
116.1288,IGN
116.2812,IGN
116.4336,IGN
116.586,IGN
116.7384,IGN
116.8908,IGN
117.0432,IGN
117.1956,IGN
117.348,IGN
117.5004,IGN
117.6528,IGN
117.8052,IGN
117.9576,IGN
118.11,IGN
118.2624,IGN
118.4148,IGN
118.5672,IGN
118.7196,IGN
118.872,IGN
119.0244,IGN
119.1768,IGN
119.3292,IGN
119.4816,IGN
119.634,IGN
119.7864,IGN
119.9388,IGN
120.0912,IGN
120.2436,IGN
120.396,IGN
120.5484,IGN
120.7008,IGN
120.8532,IGN
121.0056,IGN
121.158,IGN
121.3104,IGN
121.4628,IGN
121.6152,IGN
121.7676,IGN
121.92,IGN
122.0724,IGN
122.2248,IGN
122.3772,IGN
122.5296,IGN
122.682,IGN
122.8344,IGN
122.9868,IGN
123.1392,IGN
123.2916,IGN
123.444,IGN
123.5964,IGN
123.7488,IGN
123.9012,IGN
124.0536,IGN
124.206,IGN
124.3584,IGN
124.5108,IGN
124.6632,IGN
124.8156,IGN
124.968,IGN
125.1204,IGN
125.2728,IGN
125.4252,IGN
125.5776,IGN
125.73,IGN
125.8824,IGN
126.0348,IGN
126.1872,IGN
126.3396,IGN
126.492,IGN
126.6444,IGN
126.7968,IGN
126.9492,IGN
127.1016,IGN
127.254,IGN
127.4064,IGN
127.5588,IGN
127.7112,IGN
127.8636,IGN
128.016,IGN
128.1684,IGN
128.3208,IGN
128.4732,IGN
128.6256,IGN
128.778,IGN
128.9304,IGN
129.0828,IGN
129.2352,IGN
129.3876,IGN
129.54,IGN
129.6924,IGN
129.8448,IGN
129.9972,IGN
130.1496,IGN
130.302,IGN
130.4544,IGN
130.6068,IGN
130.7592,IGN
130.9116,IGN
131.064,IGN
131.2164,IGN
131.3688,IGN
131.5212,IGN
131.6736,IGN
131.826,IGN
131.9784,IGN
132.1308,IGN
132.2832,IGN
132.4356,IGN
132.588,IGN
132.7404,IGN
132.8928,IGN
133.0452,IGN
133.1976,IGN
133.35,IGN
133.5024,IGN
133.6548,IGN
133.8072,IGN
133.9596,IGN
134.112,IGN
134.2644,IGN
134.4168,IGN
134.5692,IGN
134.7216,IGN
134.874,IGN
135.0264,IGN
135.1788,IGN
135.3312,IGN
135.4836,IGN
135.636,IGN
135.7884,IGN
135.9408,IGN
136.0932,IGN
136.2456,IGN
136.398,IGN
136.5504,IGN
136.7028,IGN
136.8552,IGN
137.0076,IGN
137.16,IGN
137.3124,IGN
137.4648,IGN
137.6172,IGN
137.7696,IGN
137.922,IGN
138.0744,IGN
138.2268,IGN
138.3792,IGN
138.5316,IGN
138.684,IGN
138.8364,IGN
138.9888,IGN
139.1412,IGN
139.2936,IGN
139.446,IGN
139.5984,IGN
139.7508,IGN
139.9032,IGN
140.0556,IGN
140.208,IGN
140.3604,IGN
140.5128,IGN
140.6652,IGN
140.8176,IGN
140.97,IGN
141.1224,IGN
141.2748,IGN
141.4272,IGN
141.5796,IGN
141.732,IGN
141.8844,IGN
142.0368,IGN
142.1892,IGN
142.3416,IGN
142.494,IGN
142.6464,IGN
142.7988,IGN
142.9512,IGN
143.1036,IGN
143.256,IGN
143.4084,IGN
143.5608,IGN
143.7132,IGN
143.8656,IGN
144.018,IGN
144.1704,IGN
144.3228,IGN
144.4752,IGN
144.6276,IGN
144.78,IGN
144.9324,IGN
145.0848,IGN
145.2372,IGN
145.3896,IGN
