DEPTH,LITHOLOGY
135,DMT
135.2,DMT
135.4,DMT
135.6,DMT
135.8,DMT
136,DMT
136.2,DMT
136.4,DMT
136.6,DMT
136.8,DMT
137,DMT
137.2,DMT
137.4,DMT
137.6,DMT
137.8,DMT
138,DMT
138.2,DMT
138.4,DMT
138.6,DMT
138.8,DMT
139,DMT
139.2,DMT
139.4,DMT
139.6,DMT
139.8,DMT
140,DMT
140.2,SS
140.4,SS
140.6,SS
140.8,SS
141,SS
141.2,SS
141.4,SS
141.6,SS
141.8,SS
142,SS
142.2,SS
142.4,SS
142.6,SS
142.8,SS
143,SS
143.2,SS
143.4,SS
143.6,SS
143.8,SS
144,SS
144.2,SS
144.4,SS
144.6,SS
144.8,SS
145,SS
145.2,SH
145.4,SH
145.6,SH
145.8,SH
146,SH
146.2,SS
146.4,SS
146.6,SS
146.8,SS
147,SS
147.2,SS
147.4,SS
147.6,SS
147.8,SS
148,SS
148.2,SS
148.4,SS
148.6,SS
148.8,SS
149,SS
149.2,SS
149.4,SS
149.6,SS
149.8,SS
150,SS
150.2,ST
150.4,ST
150.6,ST
150.8,ST
151,ST
151.2,SS
151.4,SS
151.6,SS
151.8,SS
152,SS
152.2,SS
152.4,SS
152.6,SS
152.8,SS
153,SS
153.2,SS
153.4,SS
153.6,SS
153.8,SS
154,SS
154.2,SS
154.4,SS
154.6,SS
154.8,SS
155,SS
155.2,SS
155.4,SS
155.6,SS
155.8,SS
156,SS
156.2,ST
156.4,ST
156.6,ST
156.8,ST
157,ST
157.2,SS
157.4,SS
157.6,SS
157.8,SS
158,SS
158.2,SS
158.4,SS
158.6,SS
158.8,SS
159,SS
159.2,SS
159.4,SS
159.6,SS
159.8,SS
160,SS
160.2,SH
160.4,SH
160.6,SH
160.8,SH
161,SH
161.2,SS
161.4,SS
161.6,SS
161.8,SS
162,SS
162.2,SS
162.4,SS
162.6,SS
162.8,SS
163,SS
163.2,SS
163.4,SS
163.6,SS
163.8,SS
164,SS
164.2,SS
164.4,SS
164.6,SS
164.8,SS
165,SS
165.2,SS
165.4,SS
165.6,SS
165.8,SS
166,SS
166.2,SS
166.4,SS
166.6,SS
166.8,SS
167,SS
167.2,SS
167.4,SS
167.6,SS
167.8,SS
168,SS
168.2,SS
168.4,SS
168.6,SS
168.8,SS
169,SS
169.2,SS
169.4,SS
169.6,SS
169.8,SS
170,SS
170.2,SS
170.4,SS
170.6,SS
170.8,SS
171,SS
171.2,SS
171.4,SS
171.6,SS
171.8,SS
172,SS
172.2,SS
172.4,SS
172.6,SS
172.8,SS
173,SS
173.2,SS
173.4,SS
173.6,SS
173.8,SS
174,SS
174.2,SH
174.4,SH
174.6,SH
174.8,SH
175,SH
175.2,SS
175.4,SS
175.6,SS
175.8,SS
176,SS
176.2,SS
176.4,SS
176.6,SS
176.8,SS
177,SS
177.2,SS
177.4,SS
177.6,SS
177.8,SS
178,SS
178.2,SH
178.4,SH
178.6,SH
178.8,SH
179,SH
179.2,SH
179.4,SH
179.6,SH
179.8,SH
180,SH
180.2,SS
180.4,SS
180.6,SS
180.8,SS
181,SS
181.2,SS
181.4,SS
181.6,SS
181.8,SS
182,SS
182.2,SS
182.4,SS
182.6,SS
182.8,SS
183,SS
183.2,DMT
183.4,DMT
183.6,DMT
183.8,DMT
184,DMT
184.2,DMT
184.4,DMT
184.6,DMT
184.8,DMT
185,DMT
185.2,ST
185.4,ST
185.6,ST
185.8,ST
186,ST
186.2,ST
186.4,ST
186.6,ST
186.8,ST
187,ST
187.2,ST
187.4,ST
187.6,ST
187.8,ST
188,ST
188.2,SS
188.4,SS
188.6,SS
188.8,SS
189,SS
189.2,SS
189.4,SS
189.6,SS
189.8,SS
190,SS
190.2,SS
190.4,SS
190.6,SS
190.8,SS
191,SS
191.2,SS
191.4,SS
191.6,SS
191.8,SS
192,SS
192.2,SS
192.4,SS
192.6,SS
192.8,SS
193,SS
193.2,SS
193.4,SS
193.6,SS
193.8,SS
194,SS
194.2,SS
