DEPTH,LITHOLOGY
3989.30368,SS
3989.38496,SS
3989.46624,SS
3989.54752,SS
3989.6288,SS
3989.71008,SS
3989.79136,SS
3989.87264,SS
3989.95392,SS
3990.0352,SS
3990.11648,SS
3990.19776,SS
3990.27904,SS
3990.36032,SS
3990.4416,SS
3990.52288,SS
3990.60416,SS
3990.68544,SS
3990.76672,SS
3990.848,SS
3990.92928,SS
3991.01056,SS
3991.09184,SS
3991.17312,SS
3991.2544,SS
3991.33568,SS
3991.41696,SS
3991.49824,SS
3991.57952,SS
3991.6608,SS
3991.74208,SS
3991.82336,SS
3991.90464,SS
3991.98592,SS
3992.0672,SS
3992.14848,SS
3992.22976,SS
3992.31104,SS
3992.39232,SS
3992.4736,SS
3992.55488,SS
3992.63616,SS
3992.71744,SS
3992.79872,SS
3992.88,SS
3992.96128,SS
3993.04256,SS
3993.12384,SS
3993.20512,SS
3993.2864,SS
3993.36768,SS
3993.44896,SS
3993.53024,SS
3993.61152,SS
3993.6928,SS
3993.77408,SS
3993.85536,SS
3993.93664,SS
3994.01792,SS
3994.0992,SS
3994.18048,SS
3994.26176,SS
3994.34304,SS
3994.42432,SS
3994.5056,SS
3994.58688,SS
3994.66816,SS
3994.74944,SS
3994.83072,SS
3994.912,SS
3994.99328,SS
3995.07456,SS
3995.15584,SS
3995.23712,SS
3995.3184,SS
3995.39968,SS
3995.48096,SS
3995.56224,SS
3995.64352,SS
3995.7248,SS
3995.80608,SS
3995.88736,SS
3995.96864,SS
3996.04992,SS
3996.1312,SS
3996.21248,SS
3996.29376,SS
3996.37504,SS
3996.45632,SS
3996.5376,SS
3996.61888,SS
3996.70016,SS
3996.78144,SS
3996.86272,SS
3996.944,SS
3997.02528,SS
3997.10656,SS
3997.18784,SS
3997.26912,SS
3997.3504,SS
3997.43168,SS
3997.51296,SS
3997.59424,SS
3997.67552,SS
3997.7568,SS
3997.83808,SS
3997.91936,SS
3998.00064,SS
3998.08192,SS
3998.1632,SS
3998.24448,SS
3998.32576,SS
3998.40704,SS
3998.48832,SS
3998.5696,SS
3998.65088,SS
3998.73216,SS
3998.81344,SS
3998.89472,SS
3998.976,SS
3999.05728,SS
3999.13856,SS
3999.21984,SS
3999.30112,SS
3999.3824,SS
3999.46368,SS
3999.54496,SS
3999.62624,SS
3999.70752,SS
3999.7888,SS
3999.87008,SS
3999.95136,SS
4000.03264,SS
4000.11392,SS
4000.1952,SS
4000.27648,SS
4000.35776,SS
4000.43904,SS
4000.52032,SS
4000.6016,SS
4000.68288,SS
4000.76416,SS
4000.84544,SS
4000.92672,SS
4001.008,SS
4001.08928,SS
4001.17056,SS
4001.25184,SS
4001.33312,SS
4001.4144,SS
4001.49568,SS
4001.57696,SS
4001.65824,SS
4001.73952,SS
4001.8208,SS
4001.90208,SS
4001.98336,SS
4002.06464,SS
4002.14592,SS
4002.2272,SS
4002.30848,SS
4002.38976,SS
4002.47104,SS
4002.55232,SS
4002.6336,SS
4002.71488,SS
4002.79616,SS
4002.87744,SS
4002.95872,SS
4003.04,SS
4003.12128,SS
4003.20256,SS
4003.28384,SS
4003.36512,SS
4003.4464,SS
4003.52768,SS
4003.60896,SS
4003.69024,SS
4003.77152,SS
4003.8528,SS
4003.93408,SS
4004.01536,SS
4004.09664,SS
4004.17792,SS
4004.2592,SS
4004.34048,SS
4004.42176,SS
4004.50304,SS
4004.58432,SS
4004.6656,SS
4004.74688,SS
4004.82816,SS
4004.90944,SS
4004.99072,SS
4005.072,SS
4005.15328,SS
4005.23456,SS
4005.31584,SS
4005.39712,SS
4005.4784,SS
4005.55968,SS
4005.64096,SS
4005.72224,SS
4005.80352,SS
4005.8848,SS
4005.96608,SS
4006.04736,SS
4006.12864,SS
4006.20992,SS
4006.2912,SS
4006.37248,SS
4006.45376,SS
4006.53504,SS
4006.61632,SS
4006.6976,SS
4006.77888,SS
4006.86016,SS
4006.94144,SS
4007.02272,SS
4007.104,SS
4007.18528,SS
4007.26656,SS
4007.34784,SS
4007.42912,SS
4007.5104,SS
4007.59168,SS
4007.67296,SS
4007.75424,SS
4007.83552,SS
4007.9168,SS
4007.99808,SS
4008.07936,SS
4008.16064,SS
4008.24192,SS
4008.3232,SS
4008.40448,SS
4008.48576,SS
4008.56704,SS
4008.64832,SS
4008.7296,SS
4008.81088,SS
4008.89216,SS
4008.97344,SS
4009.05472,SS
4009.136,SS
4009.21728,SS
4009.29856,SS
4009.37984,SS
4009.46112,SS
4009.5424,SS
4009.62368,SS
4009.70496,SS
4009.78624,SS
4009.86752,SS
4009.9488,SS
4010.03008,ST
4010.11136,ST
4010.19264,ST
4010.27392,ST
4010.3552,ST
4010.43648,ST
4010.51776,ST
4010.59904,ST
4010.68032,ST
4010.7616,ST
4010.84288,ST
4010.92416,ST
4011.00544,ST
4011.08672,ST
4011.168,ST
4011.24928,ST
4011.33056,ST
4011.41184,ST
4011.49312,ST
4011.5744,ST
4011.65568,ST
4011.73696,ST
4011.81824,ST
4011.89952,ST
4011.9808,ST
4012.06208,ST
4012.14336,ST
4012.22464,ST
4012.30592,ST
4012.3872,ST
4012.46848,ST
4012.54976,ST
4012.63104,ST
4012.71232,ST
4012.7936,ST
4012.87488,ST
4012.95616,ST
4013.03744,ST
4013.11872,ST
4013.2,ST
4013.28128,ST
4013.36256,ST
4013.44384,ST
4013.52512,ST
4013.6064,ST
4013.68768,ST
4013.76896,ST
4013.85024,ST
4013.93152,ST
4014.0128,ST
4014.09408,ST
4014.17536,ST
4014.25664,ST
4014.33792,ST
4014.4192,ST
4014.50048,ST
4014.58176,ST
4014.66304,ST
4014.74432,ST
4014.8256,ST
4014.90688,ST
4014.98816,ST
4015.06944,SS
4015.15072,SS
4015.232,SS
4015.31328,SS
4015.39456,SS
4015.47584,SS
4015.55712,SS
4015.6384,SS
4015.71968,SS
4015.80096,SS
4015.88224,SS
4015.96352,SS
4016.0448,SS
4016.12608,SS
4016.20736,SS
4016.28864,SS
4016.36992,SS
4016.4512,SS
4016.53248,SS
4016.61376,SS
4016.69504,SS
4016.77632,SS
4016.8576,SS
4016.93888,SS
4017.02016,SS
4017.10144,SS
4017.18272,SS
4017.264,SS
4017.34528,SS
4017.42656,SS
4017.50784,SS
4017.58912,SS
4017.6704,SS
4017.75168,SS
4017.83296,SS
4017.91424,SS
4017.99552,SS
4018.0768,SS
4018.15808,SS
4018.23936,SS
4018.32064,SS
4018.40192,SS
4018.4832,SS
4018.56448,SS
4018.64576,SS
4018.72704,SS
4018.80832,SS
4018.8896,SS
4018.97088,SS
4019.05216,SS
4019.13344,SS
4019.21472,SS
4019.296,SS
4019.37728,SS
4019.45856,SS
4019.53984,SS
4019.62112,SS
4019.7024,SS
4019.78368,SS
4019.86496,SS
4019.94624,SS
4020.02752,SS
4020.1088,SS
4020.19008,SS
4020.27136,SS
4020.35264,SS
4020.43392,SS
4020.5152,SS
4020.59648,SS
4020.67776,SS
4020.75904,SS
4020.84032,SS
4020.9216,SS
4021.00288,SS
4021.08416,SS
4021.16544,SS
4021.24672,SS
4021.328,SS
4021.40928,SS
4021.49056,SS
4021.57184,SS
4021.65312,SS
